fips,state,county,premature_death_ypll_rate,pm25_avg_concentration,pct_excessive_drinking,pct_rural,food_environment_index,pct_severe_housing_problems,avg_poor_physical_health_days,avg_poor_mental_health_days,pct_food_insecure,drinking_water_violations
27001,MN,Aitkin,8647.78,4.6,24.68,100.0,7.5,13.87,3.954,5.143,13.0,0.0
27003,MN,Anoka,6214.06,6.2,22.06,15.9,9.3,10.61,3.672,5.023,7.2,0.0
27005,MN,Becker,7442.35,4.2,23.71,70.91,7.8,12.05,3.794,4.911,10.7,1.0
27007,MN,Beltrami,12759.04,5.7,20.78,67.88,7.0,15.78,4.337,5.633,12.9,0.0
27009,MN,Benton,6370.09,6.1,24.85,45.03,8.5,11.28,3.835,5.06,10.0,0.0
27011,MN,Big Stone,8303.65,5.9,24.39,100.0,8.1,10.99,3.792,5.04,10.8,0.0
27013,MN,Blue Earth,5842.61,6.8,23.42,33.57,7.4,15.75,3.969,5.205,10.6,0.0
27015,MN,Brown,4833.34,6.4,23.12,48.15,9.1,8.26,3.606,5.047,8.9,1.0
27017,MN,Carlton,7923.22,1.3,24.23,63.51,8.5,10.64,3.803,5.458,11.5,0.0
27019,MN,Carver,3990.29,7.0,23.48,24.65,9.8,8.49,2.933,3.909,6.0,0.0
27021,MN,Cass,12950.92,4.4,21.93,100.0,8.4,13.31,3.971,5.46,11.5,0.0
27023,MN,Chippewa,8322.26,5.8,23.03,57.21,8.5,12.31,3.943,5.238,11.3,0.0
27025,MN,Chisago,5871.86,6.5,26.39,65.66,9.3,10.04,3.544,4.845,7.9,0.0
27027,MN,Clay,7319.05,6.4,23.49,25.79,8.7,14.5,3.836,4.929,10.8,0.0
27029,MN,Clearwater,9846.95,5.5,23.11,100.0,7.1,16.8,4.273,5.1,13.1,0.0
27031,MN,Cook,4570.47,2.6,24.44,100.0,8.4,13.0,3.345,4.666,10.0,0.0
27033,MN,Cottonwood,6976.01,6.2,22.14,100.0,8.8,9.86,3.967,5.061,11.4,0.0
27035,MN,Crow Wing,7320.56,4.2,26.05,68.71,8.7,11.31,3.71,4.985,10.8,0.0
27037,MN,Dakota,5146.05,7.6,20.57,4.98,9.5,10.52,3.376,4.902,7.1,0.0
27039,MN,Dodge,5217.27,6.8,25.06,63.34,9.6,8.03,3.331,4.768,7.0,0.0
27041,MN,Douglas,6113.16,5.7,24.72,51.4,8.8,11.36,3.334,4.8,9.1,1.0
27043,MN,Faribault,7136.54,6.7,22.92,100.0,8.7,8.86,3.928,5.246,10.7,0.0
27045,MN,Fillmore,6031.73,7.4,24.71,100.0,9.5,11.76,3.659,5.033,9.0,0.0
27047,MN,Freeborn,7898.81,6.7,21.88,41.76,8.5,10.7,4.176,5.386,10.0,0.0
27049,MN,Goodhue,6295.68,7.5,24.02,66.91,9.2,10.32,3.324,4.912,9.0,0.0
27051,MN,Grant,9076.18,5.6,23.32,100.0,7.7,9.36,3.82,5.367,10.4,0.0
27053,MN,Hennepin,6600.47,8.7,23.6,2.39,9.2,14.7,3.45,4.835,8.7,0.0
27055,MN,Houston,6147.96,7.9,25.17,71.02,9.4,8.51,3.442,4.631,8.4,0.0
27057,MN,Hubbard,6267.62,5.1,23.18,100.0,8.4,11.19,3.757,5.205,11.0,0.0
27059,MN,Isanti,6605.11,6.4,25.1,59.28,8.6,11.57,3.667,5.119,9.5,0.0
27061,MN,Itasca,9837.85,4.8,24.29,77.01,7.9,13.87,3.679,5.097,12.2,0.0
27063,MN,Jackson,7472.58,6.5,24.37,100.0,8.9,8.46,3.751,5.158,9.5,0.0
27065,MN,Kanabec,7423.59,5.4,24.68,100.0,8.6,12.21,4.097,5.398,11.0,0.0
27067,MN,Kandiyohi,6131.63,5.9,23.42,42.96,7.9,13.0,3.735,4.768,10.0,1.0
27069,MN,Kittson,8582.2,6.2,24.34,100.0,8.5,5.99,3.595,4.995,9.8,0.0
27071,MN,Koochiching,8809.49,5.0,24.94,45.49,7.4,11.83,3.942,5.155,12.3,0.0
27073,MN,Lac qui Parle,6964.39,5.8,25.38,100.0,9.0,9.33,3.522,4.987,9.8,0.0
27075,MN,Lake,4749.55,5.3,25.57,100.0,8.7,11.33,3.748,5.213,11.0,0.0
27077,MN,Lake of the Woods,5825.99,5.1,25.67,100.0,8.3,10.32,3.781,5.089,10.3,0.0
27079,MN,Le Sueur,6477.95,6.8,25.47,85.77,9.4,8.92,3.479,4.846,8.7,0.0
27081,MN,Lincoln,6358.42,5.5,25.12,100.0,9.1,11.27,3.716,5.259,9.8,0.0
27083,MN,Lyon,6489.94,5.3,24.79,46.54,7.7,12.69,3.691,4.972,10.6,0.0
27085,MN,McLeod,5843.37,6.2,24.61,44.5,8.2,9.72,3.92,5.116,9.3,0.0
27087,MN,Mahnomen,19800.32,5.3,20.63,100.0,6.3,16.09,5.205,6.223,15.7,0.0
27089,MN,Marshall,5946.89,6.3,24.36,100.0,7.8,8.65,3.679,5.002,9.3,0.0
27091,MN,Martin,6227.0,6.6,23.85,58.12,8.1,8.92,3.9,5.061,11.7,0.0
27093,MN,Meeker,5812.27,5.9,24.32,71.93,8.7,9.82,3.705,4.869,8.9,0.0
27095,MN,Mille Lacs,11137.36,6.0,23.77,81.85,8.6,12.32,4.096,5.509,11.9,0.0
27097,MN,Morrison,7367.0,5.6,22.71,72.33,8.1,10.38,3.989,5.441,10.9,0.0
27099,MN,Mower,6954.93,6.8,24.12,36.35,8.7,11.61,4.023,5.007,10.2,1.0
27101,MN,Murray,5091.86,6.0,24.89,100.0,9.1,5.81,3.749,4.963,9.0,0.0
27103,MN,Nicollet,5160.16,6.7,23.97,25.21,8.4,10.25,3.676,4.881,9.5,0.0
27105,MN,Nobles,6328.84,6.4,20.82,38.09,8.2,14.4,4.07,4.804,10.6,1.0
27107,MN,Norman,7593.42,5.9,24.09,100.0,8.3,12.17,3.816,5.032,10.1,0.0
27109,MN,Olmsted,5664.71,5.6,22.54,17.37,9.5,12.47,3.107,4.698,8.0,0.0
27111,MN,Otter Tail,6919.37,5.8,24.64,77.92,8.7,11.03,3.46,4.978,9.8,1.0
27113,MN,Pennington,7573.83,6.0,23.94,36.45,8.7,10.94,3.908,5.496,10.6,0.0
27115,MN,Pine,8533.78,5.4,22.47,100.0,8.5,12.41,4.214,5.347,11.7,0.0
27117,MN,Pipestone,7687.11,5.9,23.49,100.0,8.2,9.36,3.792,4.999,10.6,0.0
27119,MN,Polk,7265.5,6.6,24.48,46.53,8.2,12.37,3.76,4.911,11.1,0.0
27121,MN,Pope,8688.67,5.7,24.23,62.84,9.0,10.53,3.785,5.091,9.8,0.0
27123,MN,Ramsey,7827.02,7.9,20.45,0.02,8.7,16.98,3.937,5.391,10.5,0.0
27125,MN,Red Lake,7813.08,5.8,24.19,100.0,6.6,10.61,3.812,5.124,10.1,0.0
27127,MN,Redwood,6746.99,6.1,23.16,70.13,8.2,9.61,3.969,5.022,9.6,0.0
27129,MN,Renville,7903.96,6.1,22.94,100.0,8.3,8.7,3.994,5.024,10.3,0.0
27131,MN,Rice,5293.54,7.2,22.55,32.19,9.0,12.54,3.663,4.727,8.6,0.0
27133,MN,Rock,6748.15,6.3,24.73,50.45,9.1,7.4,3.689,5.026,8.8,0.0
27135,MN,Roseau,8530.8,6.0,24.03,100.0,8.5,12.3,3.761,5.007,9.5,1.0
27137,MN,St. Louis,8681.33,7.3,25.67,39.29,8.0,13.01,3.875,5.638,11.5,1.0
27139,MN,Scott,4773.58,5.8,25.19,18.1,9.7,10.03,3.24,4.572,6.2,1.0
27141,MN,Sherburne,4934.5,6.7,26.35,50.93,9.5,10.16,3.356,4.74,7.2,0.0
27143,MN,Sibley,6589.35,6.3,24.68,100.0,9.3,11.0,3.636,5.147,9.6,1.0
27145,MN,Stearns,6211.1,5.8,24.59,37.99,8.5,13.65,3.73,5.223,10.2,0.0
27147,MN,Steele,6151.27,6.7,24.33,29.75,9.0,12.04,3.664,5.027,8.8,0.0
27149,MN,Stevens,3964.71,5.7,23.19,47.99,9.0,10.89,3.806,5.021,9.6,0.0
27151,MN,Swift,7978.35,5.8,22.98,100.0,8.3,12.57,3.986,5.091,11.3,0.0
27153,MN,Todd,7078.09,5.6,23.05,99.42,7.9,13.61,4.111,5.059,10.9,0.0
27155,MN,Traverse,8353.18,5.8,23.75,100.0,9.0,7.72,3.996,5.236,9.8,0.0
27157,MN,Wabasha,6281.53,7.3,24.61,81.18,9.3,11.89,3.462,4.95,8.9,0.0
